feature_set,metric,loss_type,neg_strategy,success_rate_detections_%,success_rate_objects_%,mAP_standard,mAP_fair,total_detections,total_objects,cmc_rank1,cmc_rank5,cmc_rank10
feature,cosine_similarity,n/a,n/a,41.08527131782946,20.384615384615383,0.4938317649294792,0.38038392704027457,129,260,0.4140625,0.5859375,0.65625
feature,attention_similarity,ce,n/a,59.68992248062015,29.615384615384617,0.7535232513664907,0.5804165584849994,129,260,0.6015625,0.7734375,0.8203125
feature,attention_similarity,triplet,random,48.06201550387597,23.846153846153847,0.6216156051415843,0.4788120201766258,129,260,0.484375,0.65625,0.7734375
feature,attention_similarity,triplet,semi-hard,54.263565891472865,26.923076923076923,0.6824676546524383,0.5256845447998512,129,260,0.546875,0.7578125,0.8125
feature,attention_similarity,triplet,hard,1.550387596899225,0.7692307692307693,0.08723896219441786,0.06719757898759214,129,260,0.015625,0.0859375,0.1015625
feature,attention_similarity,triplet,topk_stochastic,58.139534883720934,28.846153846153843,0.7485390760448469,0.5765773964129227,129,260,0.5859375,0.78125,0.828125
feature,attention_similarity,triplet_schedule,n/a,59.68992248062015,29.615384615384617,0.7492254628652492,0.5771060997745838,129,260,0.6015625,0.7734375,0.8359375
concat_feature,cosine_similarity,n/a,n/a,39.53488372093023,19.615384615384617,0.45042138656795033,0.34694620316720504,129,260,0.3984375,0.5390625,0.6171875
concat_feature,attention_similarity,ce,n/a,56.58914728682171,28.076923076923077,0.7535911302538918,0.5804688435739436,129,260,0.5703125,0.765625,0.8359375
concat_feature,attention_similarity,triplet,random,37.2093023255814,18.461538461538463,0.5572806635806087,0.42925672735263093,129,260,0.375,0.6640625,0.78125
concat_feature,attention_similarity,triplet,semi-hard,49.6124031007752,24.615384615384617,0.6655512524801427,0.5126543431265964,129,260,0.5,0.7109375,0.796875
concat_feature,attention_similarity,triplet,hard,3.10077519379845,1.5384615384615385,0.09212018888422618,0.07095744278920126,129,260,0.03125,0.1171875,0.1875
concat_feature,attention_similarity,triplet,topk_stochastic,57.36434108527132,28.46153846153846,0.7592264614803664,0.5848095716808227,129,260,0.578125,0.796875,0.8359375
concat_feature,attention_similarity,triplet_schedule,n/a,59.68992248062015,29.615384615384617,0.7576638523321126,0.5836059403098706,129,260,0.6015625,0.765625,0.875
geom_feature,cosine_similarity,n/a,n/a,5.426356589147287,2.6923076923076925,0.14762715562996,0.11371280906632056,129,260,0.0546875,0.1484375,0.2578125
geom_feature,attention_similarity,ce,n/a,5.426356589147287,2.6923076923076925,0.1307449320647795,0.10070893415800583,129,260,0.0546875,0.1875,0.2734375
geom_feature,attention_similarity,triplet,random,3.10077519379845,1.5384615384615385,0.12077922386739011,0.09303264541136806,129,260,0.03125,0.1171875,0.171875
geom_feature,attention_similarity,triplet,semi-hard,6.2015503875969,3.076923076923077,0.09045202522863373,0.06967250591935299,129,260,0.0625,0.171875,0.2578125
geom_feature,attention_similarity,triplet,hard,0.7751937984496124,0.38461538461538464,0.07734287262288297,0.05957491539870716,129,260,0.0078125,0.078125,0.125
geom_feature,attention_similarity,triplet,topk_stochastic,2.3255813953488373,1.153846153846154,0.09461932671752453,0.07288245436349862,129,260,0.0234375,0.1171875,0.21875
geom_feature,attention_similarity,triplet_schedule,n/a,3.10077519379845,1.5384615384615385,0.09787413511393765,0.07538953650668169,129,260,0.03125,0.0859375,0.15625
